7656,,,,
city,latitude,longitude,address,services
Aberdeen Maryland 21001,39.5105,-76.163044,Maryland House Travel Plaza,breakfast
Aberdeen Washington 98520,46.9742,-123.835649,Safeway - Aberdeen #1546,drive thru;breakfast;cold brew
Aberdeen Washington 98520,46.975875,-123.815964,1202 Wishkah St- Aberdeen,cold brew;24/7;drive thru;breakfast
Aberdeen Washington 98520,46.975875,-123.815964,Grays Harbor Haggens,24/7;cold brew;breakfast;drive thru
Abilene Texas 79605,32.43412,-99.771529,Albertsons-Abilene #4237,cold brew;breakfast
Abilene Texas 79606,32.427571,-99.786302,Buffalo Gap - Hwy. 83,breakfast
Abingdon Maryland 21009,39.471783,-76.301785,Target Abingdon T-1871,drive thru;24/7;cold brew
Absecon New Jersey 08205,39.474419,-74.473297,Galloway,breakfast;cold brew;drive thru
Accokeek Maryland 20607,38.660021,-77.021138,Manokeek,cold brew;drive thru
Ada Michigan 49301,42.966823,-85.490355,D - W-Woody's Market-Ada,24/7
Addison Texas 75001,32.953051,-96.850468,Beltline - Marsh,breakfast;drive thru;cold brew
Addison Texas 75001,32.95732,-96.838469,Tom Thumb-Addison #2643,24/7;cold brew;breakfast
Addison Texas 75240,32.93321,-96.789519,Quorum One,cold brew;breakfast;drive thru
Agoura Hills California 91301,34.14351,-118.760189,Vons-Agoura Hills #2001,24/7
Aiken South Carolina 29803,33.48782,-81.717549,Kroger-Aiken #675,cold brew
Airmont New York 10901,41.110934,-74.098598,Suffern Airmont,24/7;breakfast;cold brew
Ajax Ontario L1Z 1G1,43.860323,-79.008279,Durham   Chapters   Ajax,24/7;cold brew
Akron Ohio 443101806,32.696117,-88.519501,Chapel Hill Mall Kiosk,drive thru;breakfast
Akron Ohio 44312,41.03182,-81.436558,Coventry Township  Arlington Rd,drive thru;cold brew
Akron Ohio 44313,41.12265,-81.56988,Akron - West Market - Sand rd,cold brew;24/7;breakfast
Akron Ohio 44313,41.16204,-81.575625,Summit Mall,cold brew;drive thru;24/7;breakfast
Akron Ohio 44325,41.084192,-81.514052,U of Akron - Student Union,breakfast;cold brew
Akron Ohio 44333,41.187355,-81.636389,Fairlawn,drive thru;24/7;breakfast;cold brew
Alameda California 94501,37.756586,-122.252322,South Shore Shopping Center,breakfast;24/7;drive thru;cold brew
Alameda California 94501,37.770605,-122.260079,Safeway - Alameda #2708,cold brew;breakfast;24/7;drive thru
Alameda California 94501,37.77105,-122.262819,Albertsons-Alameda #7031,cold brew;24/7
